,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,LOT,BLOCK,PLAN,DISTRICT_LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_LAND_VALUE,PREVIOUS_IMPROVEMENT_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE,HOUSE_PRICE
10354,007-895-348,LAND,580194510000,58019451,DEOD,Comprehensive Development,23,41,VAP196,196,,451.0,POWELL ST,V6A 1G7,LOT 23  BLOCK 41  PLAN VAP196  DIST,RICT LOT 196  NEW WESTMINSTER,,,,800000.0,10000.0,2020.0,762000.0,10000.0,1901.0,1970.0,,13,0.81
16222,010-170-324,LAND,308691190000,30869119,RS-1,One Family Dwelling,48,11,VAP8287,THSL,,3477.0,MONS DR,V5M 3B5,LOT 48  BLOCK 11  SECTION 40  PLAN ,VAP8287  DISTRICT LOT THSL  NWD & S,EC 41.,,,1189000.0,625000.0,2020.0,1323000.0,602000.0,2011.0,2011.0,,22,1.814
106521,008-519-790,LAND,670034760000,67003476,RS-1,One Family Dwelling,2,180,21435,540,,3822.0,10TH AVE W,V6R 2G7,LOT 2  BLOCK 180  PLAN 21435  DISTR,ICT LOT 540  NWD OF LOT 2.,,,,1584000.0,260000.0,2020.0,1818000.0,252000.0,1988.0,1988.0,,1,1.844
61953,013-009-508,LAND,733037050000,73303705,RS-5,One Family Dwelling,37,42,VAP3268,2027,,3789.0,35TH AVE W,V6N 2N6,LOT 37  BLOCK 42  PLAN VAP3268  DIS,TRICT LOT 2027  NEW WESTMINSTER,,,,3220000.0,803000.0,2020.0,3979000.0,782000.0,1995.0,1995.0,,3,4.023
79954,010-866-868,LAND,635019620000,63501962,RS-1,One Family Dwelling,23,4,VAP6583,140,,4742.0,DRUMMOND DR,V6T 1B4,LOT 23  BLOCK 4  PLAN VAP6583  DIST,RICT LOT 140  NEW WESTMINSTER,,,,9327000.0,2099000.0,2020.0,11422000.0,2013000.0,1933.0,2000.0,,1,11.426
116685,014-963-078,LAND,710184410000,71018441,RS-7,One Family Dwelling,6,1,VAP1168,630,,41.0,KING EDWARD AVE E,V5V 2B8,LOT 6  BLOCK 1  PLAN VAP1168  DISTR,ICT LOT 630  NWD PART S 1/2.,,,,1257000.0,107000.0,2020.0,1414000.0,108000.0,1930.0,1980.0,,15,1.364
140043,018-729-347,STRATA,70636630004,7063663,RT-8,Two Family Dwelling,4,,LMS1360,192,,1815.0,MACDONALD ST,V6K 3X7,LOT 4  PLAN LMS1360  DISTRICT LOT 1,92  NEW WESTMINSTER UNDIV 1405/5142, SHARE IN COM PROP THEREIN.,,,1227000.0,226000.0,2020.0,1345000.0,237000.0,1994.0,1994.0,,2,1.453
123778,028-613-091,LAND,135817120000,13581712,RS-1,One Family Dwelling,B,A,BCP48473,319,,7818.0,CARTIER ST,V6P 4T4,LOT B  BLOCK A  PLAN BCP48473  DIST,"RICT LOT 319  NWD GROUP 1, OF LOTS ","9 TO 11, & DL 323 AND 324.",,,1540000.0,672000.0,2020.0,1829000.0,669000.0,2011.0,2011.0,,12,2.212
40800,019-202-504,STRATA,210728920019,21072892,C-2,Commercial,19,,LMS1893,391,301,4838.0,FRASER ST,V5V 4H4,LOT 19  PLAN LMS1893  DISTRICT LOT ,391  NEW WESTMINSTER UNDIV 87/3169 ,SHARE IN COM PROP THEREIN.,,,441000.0,154000.0,2020.0,438000.0,159000.0,1994.0,1994.0,,16,0.595
196462,024-578-835,STRATA,670037710043,67003771,C-2,Commercial,43,,LMS3973,176,,3721.0,10TH AVE W,V6R 2G5,LOT 43  PLAN LMS3973  DISTRICT LOT ,176  NEW WESTMINSTER UNDIV 253/1000,0 SHARE IN COM PROP THEREIN.,,,762000.0,114000.0,2020.0,813000.0,117000.0,1999.0,1999.0,,1,0.876
17029,006-167-730,STRATA,654134290003,65413429,RM-3,Multiple Family Dwelling,3,,VAS903,526,5,1375.0,10TH AVE W,V6H 1J7,LOT 3  PLAN VAS903  DISTRICT LOT 52,6  NEW WESTMINSTER UNDIV 108/641 SH,ARE IN COM PROP THEREIN.,,,630000.0,148000.0,2020.0,649000.0,160000.0,1981.0,1981.0,,7,0.778
187508,014-617-374,LAND,185722400000,18572240,RS-1,One Family Dwelling,66,1,VAP1452,633,,4540.0,JAMES ST,V5V 3J3,LOT 66  BLOCK 1  PLAN VAP1452  DIST,"RICT LOT 633  NWD GROUP 1, EXC THE ","E 10', NOW LANE, TO BLK 3 & 8.",,,1398000.0,326000.0,2020.0,1554000.0,308000.0,2002.0,2002.0,,16,1.724
160209,011-128-739,LAND,62705270000,6270527,RS-1,One Family Dwelling,20,U,VAP5532,139,,3939.0,PUGET DR,V6L 2V3,LOT 20  BLOCK U  PLAN VAP5532  DIST,RICT LOT 139  NWD AMD.,,,,2354000.0,124000.0,2020.0,2668000.0,126000.0,1977.0,1977.0,,4,2.478
151317,003-149-064,LAND,737125150000,73712515,RS-5,One Family Dwelling,9,870,VAP6011,526,,1569.0,36TH AVE W,V6M 1J9,LOT 9  BLOCK 870  PLAN VAP6011  DIS,TRICT LOT 526  NEW WESTMINSTER,,,,5322000.0,226000.0,2020.0,6776000.0,202000.0,1921.0,1965.0,,8,5.548
187046,024-981-893,STRATA,664134940008,66413494,CD-1 (390),Comprehensive Development,8,,LMS4382,526,205,1316.0,11TH AVE W,V6H 4G8,LOT 8  PLAN LMS4382  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 78/4101 S,HARE IN COM PROP THEREIN.,,,420000.0,312000.0,2020.0,474000.0,316000.0,2001.0,2001.0,,7,0.732
41445,009-961-020,LAND,799304520000,79930452,RS-1,One Family Dwelling,L,,VAP8669,,,3262.0,53RD AVE E,V5S 1W7,LOT L  PLAN VAP8669  NEW WESTMINSTE,R DL 338 S HLF OF SE QTR OF SW QTR.,,,,1564000.0,639000.0,2020.0,1921000.0,620000.0,2002.0,2002.0,,24,2.203
128234,024-352-101,STRATA,126602100089,12660210,DD,Comprehensive Development,89,,LMS3709,541,914,828.0,HOWE ST,V6Z 2X2,LOT 89  PLAN LMS3709  DISTRICT LOT ,541  NEW WESTMINSTER UNDIV 546/5296,9 SHARE IN COM PROP THEREIN.,,,329000.0,128000.0,2020.0,332000.0,130000.0,1998.0,1998.0,,26,0.457
30248,015-643-476,LAND,590230200000,59023020,MC-1,Industrial,3,11,VAP186,182,,1320.0,HASTINGS ST E,V5L 1S3,LOT 3  BLOCK 11  PLAN VAP186  DISTR,"ICT LOT 182  NWD EXCEPT PLAN 5778, ","W 5 FT & OF BLK B, LOT 2, BLOCK 11,"," PLAN VAP186, DISTRICT LOT 182, NEW"," WESTMINSTER LAND DISTRICT, EXCEPT ",4587000.0,25400.0,2020.0,6307000.0,25400.0,1925.0,1925.0,,14,4.6124
60886,011-244-925,LAND,706190370000,70619037,RS-7,One Family Dwelling,20,24,VAP5112,301,,237.0,23RD AVE E,V5V 1X4,LOT 20  BLOCK 24  PLAN VAP5112  DIS,TRICT LOT 301  NWD GROUP 1.,,,,1485000.0,154000.0,2020.0,1615000.0,145000.0,1913.0,1965.0,,15,1.639
109909,028-782-917,STRATA,589172200104,58917220,HA-2,Historic Area,104,,BCS4367,OGT,1104,66.0,CORDOVA ST W,V6B 0L2,LOT 104  PLAN BCS4367  DISTRICT LOT," OGT  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,413000.0,167000.0,2020.0,472000.0,168000.0,2012.0,2012.0,,26,0.58
112540,030-320-011,STRATA,148826800001,14882680,RM-8,,1,,EPS4727,319,,8520.0,OSLER ST,V6P 0G4,LOT 1  PLAN EPS4727  DISTRICT LOT 3,"19  NWD GROUP 1, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM V,1592000.0,534000.0,2020.0,1863000.0,538000.0,2017.0,2017.0,,12,2.126
97711,025-704-982,STRATA,592116040125,59211604,DD,Comprehensive Development,125,,BCS460,185,2301,1328.0,PENDER ST W,V6E 4T1,"STRATA LOT 125, PLAN BCS460, DISTRI","CT LOT 185, GROUP 1, NEW WESTMINSTE","R LAND DISTRICT, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,694000.0,281000.0,2020.0,789000.0,284000.0,2003.0,2003.0,,26,0.975
71664,014-744-546,STRATA,683124040010,68312404,RM-3,Multiple Family Dwelling,10,,VAS2478,526,403,1566.0,13TH AVE W,V6J 2G4,LOT 10  PLAN VAS2478  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 934/2766,2 SHARE IN COM PROP THEREIN.,,,616000.0,352000.0,2020.0,679000.0,364000.0,1989.0,1989.0,,7,0.968
193481,010-946-926,LAND,707040380000,70704038,RS-5,One Family Dwelling,10,25,VAP6180,139,,3562.0,24TH AVE W,V6S 1L4,LOT 10  BLOCK 25  PLAN VAP6180  DIS,TRICT LOT 139  NWD OF LOT 4.,,,,2532000.0,63900.0,2020.0,2906000.0,69700.0,1930.0,1960.0,,3,2.5959
10234,004-684-346,LAND,795210720000,79521072,RS-1,One Family Dwelling,A,1,VAP6295,659,,772.0,52ND AVE E,V5X 1H2,LOT A  BLOCK 1  PLAN VAP6295  DISTR,"ICT LOT 659  NWD PART W 1/2, OF LOT"," 7, & DL 660.",,,1207000.0,778000.0,2020.0,1388000.0,776000.0,2013.0,2013.0,,17,1.985
21237,010-225-901,LAND,638271700000,63827170,RS-1,One Family Dwelling,K,14,VAP8147,THSL,,2578.0,5TH AVE E,V5M 1M7,LOT K  BLOCK 14  SECTION 34  PLAN V,AP8147  DISTRICT LOT THSL  NWD PART, N 1/2.,,,1300000.0,607000.0,2020.0,1495000.0,583000.0,2007.0,2008.0,,21,1.907
205995,029-212-731,STRATA,131614930191,13161493,CD-1 (482),Comprehensive Development,191,113,EPS1755,541,,1332.0,GRANVILLE ST,V6Z 1M7,LOT 191  BLOCK 113  PLAN EPS1755  D,"ISTRICT LOT 541  NWD GROUP 1, TOGET",HER WITH AN INTEREST IN THE COMMON ,PROPERTY IN PROPORTION TO THE UNIT ,ENTITLEMENT OF THE STRATA LOT AS SH,1379000.0,345000.0,2020.0,1148000.0,345000.0,2013.0,2013.0,,29,1.724
80367,010-807-888,LAND,95719540000,9571954,RS-5,One Family Dwelling,8,706,VAP6011,526,,4470.0,MAPLE CRES,V6J 4B3,LOT 8  BLOCK 706  PLAN VAP6011  DIS,TRICT LOT 526  NEW WESTMINSTER,,,,3610000.0,276000.0,2020.0,4720000.0,265000.0,1925.0,1990.0,,8,3.886
92187,024-556-386,STRATA,600116040382,60011604,CD-1 (318),Comprehensive Development,382,,LMS3942,185,1606,1367.0,ALBERNI ST,V6E 4R9,"STRATA LOT 382, PLAN LMS3942, DISTR","ICT LOT 185, NEW WESTMINSTER LAND D","ISTRICT, TOGETHER WITH AN INTEREST ",IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,578000.0,222000.0,2020.0,655000.0,223000.0,1999.0,1999.0,,26,0.8
86483,016-779-851,STRATA,87631930005,8763193,C-2B,Commercial,5,,VAS2745,526,204,2213.0,1ST AVE W,V6K 1E9,LOT 5  PLAN VAS2745  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 86/1420 S,HARE IN COM PROP THEREIN.,,,538000.0,120000.0,2020.0,581000.0,124000.0,1989.0,1989.0,,2,0.658
9718,013-631-829,LAND,264693270000,26469327,RS-1,One Family Dwelling,8,19,VAP2573,195,,3527.0,LAKEWOOD ST,V5N 4V6,LOT 8  BLOCK 19  PLAN VAP2573  DIST,RICT LOT 195  NEW WESTMINSTER,,,,1089000.0,779000.0,2020.0,1194000.0,753000.0,2013.0,2013.0,,14,1.868
51818,030-156-734,STRATA,170670880100,17067088,C-2C,Commercial,100,,EPS4248,526,709,2888.0,CAMBIE ST,V5Z 0H3,LOT 100  PLAN EPS4248  DISTRICT LOT," 526  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,1283000.0,552000.0,2020.0,1562000.0,556000.0,2017.0,2017.0,,13,1.835
157846,029-539-439,STRATA,684179630002,68417963,RT-6,Two Family Dwelling,2,,EPS2487,526,2,123.0,14TH AVE W,V5Y 1W8,LOT 2  PLAN EPS2487  DISTRICT LOT 5,"26  NWD GROUP 1, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM V,1653000.0,379000.0,2020.0,1707000.0,381000.0,2015.0,2015.0,,13,2.032
50321,027-572-358,STRATA,157602030071,15760203,CD-1 (431),Comprehensive Development,71,,BCS2982,541,1101,821.0,CAMBIE ST,V6B 0E3,LOT 71  PLAN BCS2982  DISTRICT LOT ,"541  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,389000.0,213000.0,2020.0,451000.0,216000.0,2008.0,2008.0,,29,0.602
48393,025-899-007,STRATA,138612960010,13861296,DD,Comprehensive Development,10,,BCS747,541,404,499.0,DRAKE ST,V6B 1B1,LOT 10  PLAN BCS747  DISTRICT LOT 5,41  NEW WESTMINSTER UNDIV 130/3277 ,SHARE IN COM PROP THEREIN.,,,1021000.0,550000.0,2020.0,1188000.0,556000.0,2004.0,2004.0,,29,1.571
94256,010-139-338,LAND,230758380000,23075838,RS-1,One Family Dwelling,4,4,VAP8333,,,6158.0,KNIGHT ST,V5P 2V8,LOT 4  BLOCK 4  PLAN VAP8333  NEW W,ESTMINSTER DISTRICT LOT 731 W HLF.,,,,1115000.0,76000.0,2020.0,1312000.0,77100.0,1967.0,1967.0,,19,1.191
14390,026-040-425,STRATA,841125620022,84112562,I-2,Light Industrial,22,,BCS965,318,,1534.0,RAND AVE,V6P 3G2,LOT 22  PLAN BCS965  DISTRICT LOT 3,"18  NEW WESTMINSTER GROUP 1, UNDIV ",190/3989 SHARE IN COM PROP THEREIN.,,,647000.0,160000.0,2020.0,570000.0,162000.0,2004.0,2004.0,,18,0.807
119186,009-126-015,LAND,288813820000,28881382,RS-1,One Family Dwelling,9,71,VAP11489,,,7292.0,LANCASTER PL,V5S 3B4,LOT 9  BLOCK 71  PLAN VAP11489  NWD," DISTRICT LOT FRASERVIEW, OF LOT F.",,,,1548000.0,187000.0,2020.0,1808000.0,189000.0,1966.0,1985.0,,25,1.735
23697,026-537-036,LAND,717199170000,71719917,RS-1,One Family Dwelling,B,10,BCP21668,391,,521.0,28TH AVE E,V5V 2N4,LOT B  BLOCK 10  PLAN BCP21668  DIS,"TRICT LOT 391  NWD OF LOT 167, TO B","LOCK 13 & BLOCKS 22 TO 25, & DL 392",.,,1321000.0,403000.0,2020.0,1463000.0,383000.0,2006.0,2007.0,,16,1.724
207016,016-260-945,STRATA,654122970019,65412297,RM-3,Multiple Family Dwelling,19,,VAS2709,526,901,1633.0,10TH AVE W,V6J 2A2,LOT 19  PLAN VAS2709  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 1443/342,70 SHARE IN COM PROP THEREIN.,,,950000.0,518000.0,2020.0,1058000.0,524000.0,1990.0,1990.0,,7,1.468
170123,026-469-804,STRATA,616134520076,61613452,CD-1 (366),Comprehensive Development,76,,BCS1570,FC,1508,550.0,PACIFIC ST,V6Z 3G2,LOT 76  PLAN BCS1570  DISTRICT LOT ,FC  NWD TOGETHER WITH AN INTEREST I,N THE COMMON PROPERTY IN PROPORTION, TO THE UNIT ENTITLEMENT OF THE STR,ATA LOT AS SHOWN ON FORM V.,524000.0,262000.0,2020.0,601000.0,264000.0,2005.0,2005.0,,30,0.786
76512,018-244-297,STRATA,580259570035,58025957,RM-3A,Multiple Family Dwelling,35,,LMS858,184,405,2133.0,DUNDAS ST,V5L 1J7,LOT 35  PLAN LMS858  DISTRICT LOT 1,84  NEW WESTMINSTER UNDIV 294/10000, SHARE IN COM PROP THEREIN.,,,361000.0,144000.0,2020.0,336000.0,149000.0,1993.0,1993.0,,14,0.505
75470,018-910-025,STRATA,304716540132,30471654,CD-1 (222),Comprehensive Development,132,,LMS1558,51,1307,3489.0,ASCOT PL,V5R 6B6,LOT 132  PLAN LMS1558  DISTRICT LOT, 51  NEW WESTMINSTER UNDIV 713/8477,8 SHARE IN COM PROP THEREIN.,,,282000.0,182000.0,2020.0,312000.0,187000.0,1994.0,1994.0,,23,0.464
33083,030-696-828,STRATA,830170950043,83017095,CD-1 (71),Comprehensive Development,43,,EPS5144,311,610,455.0,MARINE DR SW,V5X 0H3,"STRATA LOT 43, PLAN EPS5144, DISTRI","CT LOT 311, GROUP 1, NEW WESTMINSTE","R LAND DISTRICT, & DL 323, TOGETHER", WITH AN INTEREST IN THE COMMON PRO,PERTY IN PROPORTION TO THE UNIT ENT,366000.0,258000.0,2020.0,192983.0,294010.0,,,,12,0.624
117641,023-227-168,STRATA,116573940373,11657394,CD-1 (259),Comprehensive Development,373,,LMS2064,185,2406,555.0,JERVIS ST,V6E 4N1,"STRATA LOT 373, PLAN LMS2064, DISTR","ICT LOT 185, GROUP 1, NEW WESTMINST","ER LAND DISTRICT, & OF THE PUBLIC H","ARBOUR OF BURRARD INLET, TOGETHER W",ITH AN INTEREST IN THE COMMON PROPE,671000.0,161000.0,2020.0,745000.0,163000.0,1995.0,1995.0,,26,0.832
38688,012-145-815,STRATA,126612020126,12661202,DD,Comprehensive Development,126,,VAS2282,541,1506,1212.0,HOWE ST,V6Z 2M9,LOT 126  PLAN VAS2282  DISTRICT LOT, 541  NWD TOGETHER WITH AN INTEREST, IN THE COMMON PROPERTY IN PROPORTI,ON TO THE UNIT ENTITLEMENT OF THE S,"TRATA LOT AS SHOWN ON FORM 1 OR V, ",413000.0,147000.0,2020.0,500000.0,150000.0,2008.0,2008.0,,29,0.56
64965,011-037-237,LAND,747030790000,74703079,RS-5,One Family Dwelling,16,1,VAP5985,320,,4019.0,40TH AVE W,V6N 3B9,LOT 16  BLOCK 1  PLAN VAP5985  DIST,RICT LOT 320  NEW WESTMINSTER,,,,2373000.0,1283000.0,2020.0,2752000.0,1260000.0,2008.0,2008.0,,3,3.656
84374,013-262-793,LAND,817184840000,81718484,RS-1,One Family Dwelling,17,1,VAP2259,322,,172.0,61ST AVE E,V5X 2B4,LOT 17  BLOCK 1  PLAN VAP2259  DIST,"RICT LOT 322  NWD GROUP 1, & BLK 2.",,,,1312000.0,236000.0,2020.0,1565000.0,234000.0,1986.0,2001.0,,17,1.548
33424,025-775-529,STRATA,730090940051,73009094,CD-1 (22),Comprehensive Development,51,,BCS536,526,226,2083.0,33RD AVE W,V6M 4M6,LOT 51  PLAN BCS536  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 59/8812 S,HARE IN COM PROP THEREIN.,,,1.0,1.0,2020.0,1.0,1.0,2003.0,2003.0,,4,2e-06
197320,011-198-893,LAND,814085860000,81408586,RS-1,One Family Dwelling,153,B,VAP5258,325A,,1992.0,60TH AVE W,V6P 2B1,LOT 153  BLOCK B  PLAN VAP5258  DIS,TRICT LOT 325A  NEW WESTMINSTER,,,,2247000.0,1327000.0,2020.0,2732000.0,1301000.0,2015.0,2016.0,,6,3.574
27302,013-743-121,LAND,267641240000,26764124,RS-1,One Family Dwelling,4,150,VAP2469,264A,,2224.0,GARDEN DR,V5N 4X2,LOT 4  BLOCK 150  PLAN VAP2469  DIS,TRICT LOT 264A  NWD OF LOT 1.,,,,1427000.0,42500.0,2020.0,1539000.0,43000.0,1966.0,1966.0,,14,1.4695
198732,030-166-772,STRATA,750163050047,75016305,CD-1 (576),,47,,EPS4269,526,602,655.0,41ST AVE W,V5Z 2N1,LOT 47  PLAN EPS4269  DISTRICT LOT ,"526  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,1116000.0,493000.0,2020.0,1214000.0,495000.0,2016.0,2016.0,,9,1.609
99076,023-341-718,STRATA,645179560006,64517956,I-1,Light Industrial,6,,LMS2305,200A,2D,138.0,6TH AVE W,V5Y 1K6,LOT 6  PLAN LMS2305  DISTRICT LOT 2,00A  NEW WESTMINSTER UNDIV 600/2077,8 SHARE IN COM PROP THEREIN.,,,282000.0,94100.0,2020.0,307000.0,96200.0,1996.0,1996.0,,13,0.3761
79492,030-418-402,STRATA,319718020062,31971802,CD-1 (545),Comprehensive Development,62,,EPS4621,36,706,5470.0,ORMIDALE ST,V5R 0G6,LOT 62  PLAN EPS4621  DISTRICT LOT ,"36  NWD GROUP 1, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM V,308000.0,166000.0,2020.0,319000.0,166000.0,2018.0,2018.0,,23,0.474
17315,004-025-687,STRATA,636148930021,63614893,FCCDD,Comprehensive Development,21,,VAS442,,,1031.0,SCANTLINGS,V6H 3N9,LOT 21  PLAN VAS442  NWD DISTRICT L,"OT FALSE CREEK, HISTORIC MEVA - NO ","#, TOGETHER WITH AN INTEREST IN THE", COMMON PROPERTY IN PROPORTION TO T,HE UNIT ENTITLEMENT OF THE STRATA L,836000.0,62000.0,2020.0,898000.0,66700.0,1976.0,1976.0,,7,0.898
104222,027-047-491,STRATA,172595060172,17259506,CD-1 (265),Comprehensive Development,172,,BCS2313,FC,2901,58.0,KEEFER PL,V6B 0B8,"STRATA LOT 172, PLAN BCS2313, DISTR","ICT LOT FC, NEW WESTMINSTER LAND DI","STRICT, TOGETHER WITH AN INTEREST I",N THE COMMON PROPERTY IN PROPORTION, TO THE UNIT ENTITLEMENT OF THE STR,1443000.0,487000.0,2020.0,1569000.0,487000.0,2007.0,2007.0,,26,1.93
80618,005-611-644,STRATA,650214950016,65021495,RM-4N,Multiple Family Dwelling,16,,VAS662,264A,202,975.0,BROADWAY E,V5T 1Y3,LOT 16  PLAN VAS662  DISTRICT LOT 2,64A  NEW WESTMINSTER UNDIV 579/2937,3 SHARE IN COM PROP THEREIN.,,,325000.0,59400.0,2020.0,292000.0,63300.0,1978.0,1983.0,,13,0.3844
45289,030-472-695,STRATA,138614880043,13861488,CD-1 (563),,43,115,EPS4774,541,2001,499.0,PACIFIC ST,V6B 0N4,"STRATA LOT 43, BLOCK 115, PLAN EPS4","774, DISTRICT LOT 541, GROUP 1, NEW"," WESTMINSTER LAND DISTRICT, TOGETHE",R WITH AN INTEREST IN THE COMMON PR,OPERTY IN PROPORTION TO THE UNIT EN,1284000.0,402000.0,2020.0,1696000.0,403000.0,2018.0,2018.0,,29,1.686
87583,010-195-157,LAND,230750110000,23075011,RS-1,One Family Dwelling,1,2,VAP8240,714,,5755.0,KNIGHT ST,V5P 2V4,LOT 1  BLOCK 2  PLAN VAP8240  DISTR,"ICT LOT 714  NWD GROUP 1, EXC PT IN"," PL LMP40776, OF LOTS 1 & 6 TO 8.",,,944000.0,17800.0,2020.0,1120000.0,17800.0,1953.0,1960.0,,19,0.9618
200705,023-931-353,STRATA,250606980006,25060698,C-2C1,Commercial,6,,LMS2912,264A,202,1707.0,CHARLES ST,V5L 2T6,LOT 6  PLAN LMS2912  DISTRICT LOT 2,64A  NEW WESTMINSTER UNDIV 1242/348,24 SHARE IN COM PROP THEREIN.,,,597000.0,208000.0,2020.0,597000.0,213000.0,1997.0,1997.0,,14,0.805
183290,012-891-631,LAND,223719390000,22371939,RS-1,One Family Dwelling,28,7,VAP3432,392,,4555.0,ROSS ST,V5V 4T8,LOT 28  BLOCK 7  PLAN VAP3432  DIST,"RICT LOT 392  NWD PART E 1/2, OF LO",T 2.,,,1200000.0,147000.0,2020.0,1415000.0,148000.0,1984.0,1984.0,,19,1.347
160253,003-064-166,LAND,698070860000,69807086,RS-1,One Family Dwelling,15,2,VAP4477,139,,2712.0,21ST AVE W,V6L 1K3,LOT 15  BLOCK 2  PLAN VAP4477  DIST,RICT LOT 139  NWD OF LOT 2.,,,,1880000.0,224000.0,2020.0,2060000.0,215000.0,1990.0,1990.0,,4,2.104
6366,023-937-238,STRATA,157606020349,15760602,CD-1 (324),Comprehensive Development,349,,LMS2995,FC,1102,1009.0,EXPO BLVD,V6Z 2V9,"STRATA LOT 349, PLAN LMS2995, DISTR","ICT LOT FC, NEW WESTMINSTER LAND DI","STRICT, TOGETHER WITH AN INTEREST I",N THE COMMON PROPERTY IN PROPORTION, TO THE UNIT ENTITLEMENT OF THE STR,404000.0,215000.0,2020.0,469000.0,218000.0,1997.0,1997.0,,30,0.619
102098,010-952-373,LAND,730074750000,73007475,RS-5,One Family Dwelling,14,801A,VAP6190,526,,2525.0,33RD AVE W,V6N 2E7,LOT 14  BLOCK 801A  PLAN VAP6190  D,ISTRICT LOT 526  NEW WESTMINSTER,,,,2219000.0,101000.0,2020.0,2613000.0,103000.0,1940.0,1970.0,,4,2.32
51250,013-885-651,LAND,686087960000,68608796,RT-7,Two Family Dwelling,10,444,VAP2300,526,,3025.0,ARBUTUS ST,V6J 0G8,LOT 10  BLOCK 444  PLAN VAP2300  DI,STRICT LOT 526  NEW WESTMINSTER,,,,1656000.0,1186000.0,2020.0,1873000.0,1230000.0,2016.0,2016.0,,2,2.842
111898,026-347-199,STRATA,148606030094,14860603,DD,Comprehensive Development,94,,BCS1399,541,1607,1001.0,HOMER ST,V6B 1M9,LOT 94  PLAN BCS1399  DISTRICT LOT ,541  NEW WESTMINSTER GROUP 1.,,,,488000.0,198000.0,2020.0,562000.0,198000.0,2005.0,2005.0,,29,0.686
163222,003-797-040,STRATA,96627660030,9662766,RM-4,Multiple Family Dwelling,30,,VAS277,526,302,1424.0,WALNUT ST,V6J 3R3,LOT 30  PLAN VAS277  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 21/1000 S,HARE IN COM PROP THEREIN.,,,574000.0,33700.0,2020.0,615000.0,36300.0,1975.0,1975.0,,2,0.6077
196637,028-904-311,LAND,683171950000,68317195,RT-6,Two Family Dwelling,B,I,BCP51237,526,,305.0,13TH AVE W,V5Y 1W2,LOT B  BLOCK I  PLAN BCP51237  DIST,RICT LOT 526  NWD GROUP 1.,,,,1853000.0,511000.0,2020.0,2059000.0,459000.0,1910.0,1985.0,,13,2.364
120833,004-574-796,LAND,233793500000,23379350,RS-1,One Family Dwelling,8,2,VAP2373,737,,6798.0,DUMFRIES ST,V5P 3B9,LOT 8  BLOCK 2  PLAN VAP2373  DISTR,ICT LOT 737  NEW WESTMINSTER,,,,1195000.0,194000.0,2020.0,1410000.0,198000.0,1987.0,1991.0,,17,1.389
